"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1983-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","658714","","","","0"
"1983-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","666215","","","","0"
"1983-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","671440","","","","0"
"1984-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","675861","","","","0"
"1984-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","680933","","","","0"
"1984-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","683788","","","","0"
"1984-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","694784","","","","0"
"1985-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","704209","","","","0"
"1985-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","710527","","","","0"
"1985-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","718450","","","","0"
"1985-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","728899","","","","0"
"1986-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","728446","","","","0"
"1986-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","732977","","","","0"
"1986-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","742339","","","","0"
"1986-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","741533","","","","0"
"1987-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","748217","","","","0"
"1987-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","758466","","","","0"
"1987-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","761500","","","","0"
"1987-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","770681","","","","0"
"1988-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","776933","","","","0"
"1988-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","786820","","","","0"
"1988-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","791323","","","","0"
"1988-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","798824","","","","0"
"1989-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","803854","","","","0"
"1989-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","814573","","","","0"
"1989-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","815611","","","","0"
"1989-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","819105","","","","0"
"1990-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","832886","","","","0"
"1990-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","823523","","","","0"
"1990-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","829071","","","","0"
"1990-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","829875","","","","0"
"1991-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","816927","","","","0"
"1991-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","831142","","","","0"
"1991-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","829116","","","","0"
"1991-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","834445","","","","0"
"1992-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","835026","","","","0"
"1992-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","836066","","","","0"
"1992-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","839140","","","","0"
"1992-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","845308","","","","0"
"1993-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","846058","","","","0"
"1993-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","849308","","","","0"
"1993-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","850339","","","","0"
"1993-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","851661","","","","0"
"1994-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","857884","","","","0"
"1994-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","861942","","","","0"
"1994-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","864864","","","","0"
"1994-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","870778","","","","0"
"1995-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","870267","","","","0"
"1995-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","874333","","","","0"
"1995-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","879218","","","","0"
"1995-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","877213","","","","0"
"1996-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","886078","","","","0"
"1996-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","887290","","","","0"
"1996-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","886329","","","","0"
"1996-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","897631","","","","0"
"1997-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","910899","","","","0"
"1997-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","914847","","","","0"
"1997-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","924196","","","","0"
"1997-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","928854","","","","0"
"1998-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","935702","","","","0"
"1998-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","941611","","","","0"
"1998-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","946486","","","","0"
"1998-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","947892","","","","0"
"1999-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","960876","","","","0"
"1999-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","969659","","","","0"
"1999-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","982490","","","","0"
